iter	Passed	Remaining
195	2129	7104
196	2140	7096
197	2142	7053
198	2155	7051
199	2168	7046
200	2181	7044
201	2193	7037
202	2206	7032
203	2220	7032
204	2232	7024
205	2247	7024
206	2260	7020
207	2261	6979
208	2273	6972
209	2275	6935
210	2287	6926
211	2291	6896
212	2303	6888
213	2316	6884
214	2330	6884
215	2342	6874
216	2355	6870
217	2368	6865
218	2381	6861
219	2395	6859
220	2403	6840
221	2416	6836
222	2429	6831
223	2443	6828
224	2456	6824
225	2459	6789
226	2470	6781
227	2472	6746
228	2485	6739
229	2497	6732
230	2501	6703
231	2512	6693
232	2514	6658
233	2517	6625
234	2529	6618
235	2535	6595
236	2549	6593
237	2560	6583
238	2562	6549
239	2574	6542
240	2577	6514
241	2589	6505
242	2601	6498
243	2615	6494
244	2617	6462
245	2620	6434
246	2622	6402
247	2635	6396
248	2649	6395
249	2661	6388
250	2674	6381
251	2685	6373
252	2698	6368
253	2711	6361
254	2713	6332
255	2714	6299
256	2726	6290
257	2738	6284
258	2750	6276
259	2762	6269
260	2764	6238
261	2776	6232
262	2788	6222
263	2800	6217
264	2814	6213
265	2826	6205
266	2838	6196
267	2849	6188
268	2851	6158
269	2864	6153
270	2877	6147
271	2881	6122
272	2895	6119
273	2907	6112
274	2908	6081
275	2911	6054
276	2918	6036
277	2918	6005
278	2931	6000
279	2944	5993
280	2945	5963
281	2959	5961
282	2973	5957
283	2976	5931
284	2989	5927
285	2991	5899
286	3004	5893
287	3017	5888
288	3031	5885
289	3035	5862
290	3050	5859
291	3056	5841
292	3069	5836
293	3084	5832
294	3086	5806
295	3098	5799
296	3110	5792
297	3114	5769
298	3129	5767
299	3143	5763
300	3159	5762
301	3161	5736
302	3177	5735
303	3190	5730
304	3204	5726
305	3216	5718
306	3228	5710
307	3242	5705
308	3243	5678
309	3255	5671
310	3257	5645
311	3263	5628
312	3275	5619
313	3287	5611
314	3299	5603
315	3312	5597
316	3326	5593
317	3340	5587
318	3352	5580
319	3355	5557
320	3366	5547
321	3367	5521
322	3379	5514
323	3391	5505
324	3404	5498
325	3405	5474
326	3419	5468
327	3421	5445
328	3433	5437
329	3436	5414
330	3440	5394
331	3452	5386
332	3464	5378
333	3477	5373
334	3490	5366
335	3502	5358
336	3515	5350
337	3527	5343
338	3531	5322
339	3538	5308
340	3552	5303
341	3554	5280
342	3561	5263
343	3573	5256
344	3576	5234
345	3578	5212
346	3590	5204
347	3600	5193
348	3604	5174
349	3606	5152
350	3619	5145
351	3622	5124
352	3628	5108
353	3640	5100
354	3642	5078
355	3642	5054
356	3653	5045
357	3666	5039
358	3669	5018
359	3681	5011
360	3694	5005
361	3702	4991
362	3704	4969
363	3705	4947
364	3720	4943
365	3732	4935
366	3745	4929
367	3752	4914
368	3764	4906
369	3768	4888
370	3772	4870
371	3786	4865
372	3799	4859
373	3801	4838
374	3813	4830
375	3814	4809
376	3818	4791
377	3822	4773
378	3834	4764
379	3845	4756
380	3853	4743
381	3866	4736
382	3880	4731
383	3891	4722
384	3904	4716
385	3916	4708
386	3928	4700
387	3942	4693
388	3956	4688
389	3970	4683
390	3974	4665
391	3987	4658
392	3999	4651
393	4011	4642
394	4024	4636
395	4036	4627
396	4038	4607
397	4050	4600
398	4064	4594
399	4077	4587
400	4084	4572
401	4097	4566
402	4098	4545
403	4105	4532
404	4108	4514
405	4120	4506
406	4134	4499
407	4146	4491
408	4159	4484
409	4160	4465
410	4173	4457
411	4175	4439
412	4187	4430
413	4200	4423
414	4210	4413
415	4221	4404
416	4234	4397
417	4246	4388
418	4259	4381
419	4263	4364
420	4275	4356
421	4286	4347
422	4301	4342
423	4305	4325
424	4306	4306
425	4319	4299
426	4334	4293
427	4348	4287
428	4351	4270
429	4352	4251
430	4365	4244
431	4379	4237
432	4395	4232
433	4409	4226
434	4424	4221
435	4438	4214
436	4451	4206
437	4452	4188
438	4454	4170
439	4467	4162
440	4480	4155
441	4495	4149
442	4508	4142
443	4522	4135
444	4525	4118
445	4538	4111
446	4550	4102
447	4564	4095
448	4578	4089
449	4591	4081
450	4605	4074
451	4617	4065
452	4624	4052
453	4637	4044
454	4650	4037
455	4663	4029
456	4676	4021
457	4689	4013
458	4701	4005
459	4714	3997
460	4727	3988
461	4738	3979
462	4750	3970
463	4762	3961
464	4775	3954
465	4788	3946
466	4800	3936
467	4812	3928
468	4826	3921
469	4839	3912
470	4851	3903
471	4863	3894
472	4875	3886
473	4887	3876
474	4898	3867
475	4911	3859
476	4925	3851
477	4939	3843
478	4951	3835
479	4963	3826
480	4976	3817
481	4990	3810
482	5003	3802
483	5016	3793
484	5029	3784
485	5039	3774
486	5053	3766
487	5067	3758
488	5080	3750
489	5094	3742
490	5107	3734
491	5120	3725
492	5133	3717
493	5144	3707
494	5156	3697
495	5167	3687
496	5179	3679
497	5190	3668
498	5203	3660
499	5217	3652
500	5229	3643
501	5240	3632
502	5254	3625
503	5267	3616
504	5280	3607
505	5292	3598
506	5306	3590
507	5318	3580
508	5333	3573
509	5346	3564
510	5359	3555
511	5372	3546
512	5384	3537
513	5394	3526
514	5407	3517
515	5419	3507
516	5431	3498
517	5445	3489
518	5458	3481
519	5469	3471
520	5483	3462
521	5496	3453
522	5508	3444
523	5520	3434
524	5533	3425
525	5545	3415
526	5556	3405
527	5569	3396
528	5582	3387
529	5596	3379
530	5610	3370
531	5622	3360
532	5634	3351
533	5645	3341
534	5658	3331
535	5669	3321
536	5681	3311
537	5692	3300
538	5705	3291
539	5718	3283
540	5731	3273
541	5744	3264
542	5756	3254
543	5769	3245
544	5782	3235
545	5794	3226
546	5807	3217
547	5820	3207
548	5834	3198
549	5846	3188
550	5859	3179
551	5873	3170
552	5886	3161
553	5899	3152
554	5913	3143
555	5926	3133
556	5939	3124
557	5952	3114
558	5965	3105
559	5978	3095
560	5991	3086
561	6003	3076
562	6016	3067
563	6028	3057
564	6044	3048
565	6058	3039
566	6072	3030
567	6086	3021
568	6099	3012
569	6113	3003
570	6127	2993
571	6141	2984
572	6155	2975
573	6168	2966
574	6183	2957
575	6199	2948
576	6212	2939
577	6224	2929
578	6236	2919
579	6249	2909
580	6262	2899
581	6274	2889
582	6286	2879
583	6300	2869
584	6313	2859
585	6326	2850
586	6338	2839
587	6351	2830
588	6365	2820
589	6376	2810
590	6389	2800
591	6403	2790
592	6416	2780
593	6428	2770
594	6440	2760
595	6454	2750
596	6466	2740
597	6479	2730
598	6492	2720
599	6505	2710
600	6518	2700
601	6529	2690
602	6543	2680
603	6555	2669
604	6568	2659
605	6580	2649
606	6593	2639
607	6606	2629
608	6618	2619
609	6630	2608
610	6644	2598
611	6657	2589
612	6670	2579
613	6682	2568
614	6695	2558
615	6706	2547
616	6718	2536
617	6729	2526
618	6742	2516
619	6757	2506
620	6769	2496
621	6782	2486
622	6796	2476
623	6808	2465
624	6821	2455
625	6835	2445
626	6848	2435
627	6861	2425
628	6872	2414
629	6885	2404
630	6899	2394
631	6912	2384
632	6927	2374
633	6941	2364
634	6955	2354
635	6968	2344
636	6982	2334
637	6996	2324
638	7009	2314
639	7023	2304
640	7036	2294
641	7049	2283
642	7060	2273
643	7074	2262
644	7087	2252
645	7101	2242
646	7115	2232
647	7127	2221
648	7141	2211
649	7154	2201
650	7167	2191
651	7179	2180
652	7191	2169
653	7203	2158
654	7217	2148
655	7230	2138
656	7247	2128
657	7261	2118
658	7275	2108
659	7289	2098
660	7303	2088
661	7317	2078
662	7329	2067
663	7343	2056
664	7356	2046
665	7370	2036
666	7385	2026
667	7400	2016
668	7411	2005
669	7424	1994
670	7436	1983
671	7450	1973
672	7464	1963
673	7478	1952
674	7490	1941
675	7504	1931
676	7516	1920
677	7529	1910
678	7542	1899
679	7554	1888
680	7569	1878
681	7580	1867
682	7593	1856
683	7608	1846
684	7621	1835
685	7634	1825
686	7648	1814
687	7661	1804
688	7675	1793
689	7687	1782
690	7699	1771
691	7711	1760
692	7723	1749
693	7735	1738
694	7748	1728
695	7759	1716
696	7771	1705
697	7783	1695
698	7796	1684
699	7810	1673
700	7820	1662
701	7832	1651
702	7845	1640
703	7858	1629
704	7868	1618
705	7882	1607
706	7894	1596
707	7907	1586
708	7921	1575
709	7932	1564
710	7944	1553
711	7957	1542
712	7970	1531
713	7982	1520
714	7996	1509
715	8009	1498
716	8020	1487
717	8032	1476
718	8044	1465
719	8057	1454
720	8070	1443
721	8084	1433
722	8097	1422
723	8109	1411
724	8123	1400
725	8137	1389
726	8149	1378
727	8163	1368
728	8179	1357
729	8191	1346
730	8203	1335
731	8216	1324
732	8229	1313
733	8243	1302
734	8256	1291
735	8269	1280
736	8283	1270
737	8296	1259
738	8312	1248
739	8325	1237
740	8340	1226
741	8355	1216
742	8368	1205
743	8381	1194
744	8393	1182
745	8405	1171
746	8419	1160
747	8430	1149
748	8444	1138
749	8458	1127
750	8472	1116
751	8486	1106
752	8500	1095
753	8516	1084
754	8528	1073
755	8540	1061
756	8552	1050
757	8565	1039
758	8578	1028
759	8591	1017
760	8604	1006
761	8617	995
762	8632	984
763	8645	973
764	8656	961
765	8670	950
766	8682	939
767	8694	928
768	8707	917
769	8720	905
770	8734	894
771	8746	883
772	8759	872
773	8771	861
774	8784	850
775	8798	838
776	8810	827
777	8824	816
778	8838	805
779	8852	794
780	8865	783
781	8880	772
782	8893	760
783	8906	749
784	8919	738
785	8930	727
786	8944	715
787	8957	704
788	8969	693
789	8983	682
790	8997	671
791	9010	659
792	9023	648
793	9035	637
794	9048	625
795	9059	614
796	9072	603
797	9085	592
798	9099	580
799	9112	569
800	9124	558
801	9136	546
802	9148	535
803	9160	524
804	9173	512
805	9185	501
806	9196	490
807	9209	478
808	9222	467
809	9236	456
810	9249	444
811	9261	433
812	9274	422
813	9288	410
814	9303	399
815	9315	388
816	9327	376
817	9341	365
818	9354	354
819	9367	342
820	9381	331
821	9393	319
822	9405	308
823	9417	297
824	9429	285
825	9442	274
826	9455	262
827	9467	251
828	9479	240
829	9491	228
830	9503	217
831	9516	205
832	9531	194
833	9543	183
834	9556	171
835	9568	160
836	9582	148
837	9596	137
838	9609	125
839	9623	114
840	9638	103
841	9653	91
842	9666	80
843	9680	68
844	9693	57
845	9708	45
846	9721	34
847	9734	22
848	9747	11
849	9760	0
